year,country,isocode,tasa_homicidio,region,subregion
2009,Afghanistan,AFG,4.05955,Asia,Southern Asia
2010,Afghanistan,AFG,3.4754522,Asia,Southern Asia
2011,Afghanistan,AFG,4.1945353,Asia,Southern Asia
2012,Afghanistan,AFG,6.3743386,Asia,Southern Asia
2015,Afghanistan,AFG,9.952186,Asia,Southern Asia
2016,Afghanistan,AFG,6.6799974,Asia,Southern Asia
2017,Afghanistan,AFG,6.7920213,Asia,Southern Asia
2018,Afghanistan,AFG,6.733248,Asia,Southern Asia
2019,Afghanistan,AFG,7.163967,Asia,Southern Asia
2020,Afghanistan,AFG,6.578109,Asia,Southern Asia
2021,Afghanistan,AFG,4.0324583,Asia,Southern Asia
2023,Afghanistan,AFG,NA,Asia,Southern Asia
2023,Aland Islands,ALA,NA,Europe,Northern Europe
1992,Albania,ALB,3.9603949,Europe,Southern Europe
1993,Albania,ALB,5.8270354,Europe,Southern Europe
1994,Albania,ALB,3.4256952,Europe,Southern Europe
1995,Albania,ALB,7.948279,Europe,Southern Europe
1996,Albania,ALB,8.380375,Europe,Southern Europe
1997,Albania,ALB,41.304665,Europe,Southern Europe
1998,Albania,ALB,20.559898,Europe,Southern Europe
1999,Albania,ALB,16.684462,Europe,Southern Europe
2000,Albania,ALB,4.1375203,Europe,Southern Europe
2001,Albania,ALB,6.9886894,Europe,Southern Europe
2002,Albania,ALB,6.891948,Europe,Southern Europe
2003,Albania,ALB,5.3237762,Europe,Southern Europe
2004,Albania,ALB,4.2276373,Europe,Southern Europe
2005,Albania,ALB,5.0062430000000004,Europe,Southern Europe
2006,Albania,ALB,3.1139286,Europe,Southern Europe
2007,Albania,ALB,3.4735007,Europe,Southern Europe
2008,Albania,ALB,3.1073225,Europe,Southern Europe
2009,Albania,ALB,2.870187,Europe,Southern Europe
2010,Albania,ALB,4.063206,Europe,Southern Europe
2011,Albania,ALB,4.8772044,Europe,Southern Europe
2012,Albania,ALB,5.3951817,Europe,Southern Europe
2013,Albania,ALB,4.264726,Europe,Southern Europe
2014,Albania,ALB,4.614723,Europe,Southern Europe
2015,Albania,ALB,2.2079382,Europe,Southern Europe
2016,Albania,ALB,2.7261436,Europe,Southern Europe
2017,Albania,ALB,2.0012128,Europe,Southern Europe
2018,Albania,ALB,2.2803986,Europe,Southern Europe
2019,Albania,ALB,2.2530255,Europe,Southern Europe
2020,Albania,ALB,2.1239898,Europe,Southern Europe
2021,Albania,ALB,2.3160856,Europe,Southern Europe
2022,Albania,ALB,1.6975479,Europe,Southern Europe
2023,Albania,ALB,1.3870834,Europe,Southern Europe
2024,Albania,ALB,1.7551677,Europe,Southern Europe
2006,Algeria,DZA,0.92792225,Africa,Northern Africa
2007,Algeria,DZA,0.79264295,Africa,Northern Africa
2008,Algeria,DZA,0.9420696,Africa,Northern Africa
2009,Algeria,DZA,0.78049177,Africa,Northern Africa
2010,Algeria,DZA,0.7018856,Africa,Northern Africa
2011,Algeria,DZA,0.75873816,Africa,Northern Africa
2012,Algeria,DZA,1.3892517,Africa,Northern Africa
2013,Algeria,DZA,1.2495389,Africa,Northern Africa
2014,Algeria,DZA,1.4717499,Africa,Northern Africa
2015,Algeria,DZA,1.3643339,Africa,Northern Africa
2016,Algeria,DZA,1.326782,Africa,Northern Africa
2017,Algeria,DZA,1.2569172,Africa,Northern Africa
2018,Algeria,DZA,1.3363123,Africa,Northern Africa
2019,Algeria,DZA,1.1987653,Africa,Northern Africa
2020,Algeria,DZA,1.4849432,Africa,Northern Africa
2021,Algeria,DZA,1.5526875,Africa,Northern Africa
2022,Algeria,DZA,1.7481215,Africa,Northern Africa
2023,Algeria,DZA,1.1610724,Africa,Northern Africa
2001,American Samoa,ASM,1.7527409,Oceania,Polynesia
2002,American Samoa,ASM,12.267466,Oceania,Polynesia
2003,American Samoa,ASM,5.2658834,Oceania,Polynesia
2004,American Samoa,ASM,7.0400224,Oceania,Polynesia
2005,American Samoa,ASM,10.597524,Oceania,Polynesia
2006,American Samoa,ASM,7.0954065,Oceania,Polynesia
2007,American Samoa,ASM,1.7821182,Oceania,Polynesia
2008,American Samoa,ASM,5.3736477,Oceania,Polynesia
2009,American Samoa,ASM,3.6017864,Oceania,Polynesia
2010,American Samoa,ASM,9.053297,Oceania,Polynesia
2011,American Samoa,ASM,9.108214,Oceania,Polynesia
2012,American Samoa,ASM,3.6704657,Oceania,Polynesia
2013,American Samoa,ASM,5.5549383,Oceania,Polynesia
2014,American Samoa,ASM,5.6110425,Oceania,Polynesia
2015,American Samoa,ASM,7.564583,Oceania,Polynesia
2016,American Samoa,ASM,0,Oceania,Polynesia
2017,American Samoa,ASM,13.569573,Oceania,Polynesia
2018,American Samoa,ASM,25.53601,Oceania,Polynesia
2019,American Samoa,ASM,0,Oceania,Polynesia
2023,American Samoa,ASM,NA,Oceania,Polynesia
2004,Andorra,AND,1.3454423,Europe,Southern Europe
2007,Andorra,AND,0,Europe,Southern Europe
2008,Andorra,AND,1.1976837,Europe,Southern Europe
2009,Andorra,AND,0,Europe,Southern Europe
2010,Andorra,AND,0,Europe,Southern Europe
2011,Andorra,AND,1.285628,Europe,Southern Europe
2012,Andorra,AND,0,Europe,Southern Europe
2013,Andorra,AND,0,Europe,Southern Europe
2014,Andorra,AND,0,Europe,Southern Europe
2015,Andorra,AND,0,Europe,Southern Europe
2020,Andorra,AND,2.5846472,Europe,Southern Europe
2023,Andorra,AND,NA,Europe,Southern Europe
2011,Angola,AGO,4.3562007,Africa,Sub-Saharan Africa
2012,Angola,AGO,4.833701,Africa,Sub-Saharan Africa
2015,Angola,AGO,4.453473,Africa,Sub-Saharan Africa
2016,Angola,AGO,4.0982666,Africa,Sub-Saharan Africa
2023,Angola,AGO,NA,Africa,Sub-Saharan Africa
1990,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1991,Anguilla,AIA,11.490951,Americas,Latin America and the Caribbean
1992,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1993,Anguilla,AIA,10.836584,Americas,Latin America and the Caribbean
1994,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1995,Anguilla,AIA,10.29442,Americas,Latin America and the Caribbean
1996,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1997,Anguilla,AIA,9.752768,Americas,Latin America and the Caribbean
1998,Anguilla,AIA,0,Americas,Latin America and the Caribbean
1999,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2000,Anguilla,AIA,8.947345,Americas,Latin America and the Caribbean
2001,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2002,Anguilla,AIA,17.113764,Americas,Latin America and the Caribbean
2003,Anguilla,AIA,16.842813,Americas,Latin America and the Caribbean
2004,Anguilla,AIA,8.28672,Americas,Latin America and the Caribbean
2005,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2006,Anguilla,AIA,40.09784,Americas,Latin America and the Caribbean
2007,Anguilla,AIA,31.555696,Americas,Latin America and the Caribbean
2008,Anguilla,AIA,7.7582526,Americas,Latin America and the Caribbean
2009,Anguilla,AIA,7.625729,Americas,Latin America and the Caribbean
2010,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2011,Anguilla,AIA,0,Americas,Latin America and the Caribbean
2012,Anguilla,AIA,37.372,Americas,Latin America and the Caribbean
2013,Anguilla,AIA,7.546031,Americas,Latin America and the Caribbean
2014,Anguilla,AIA,29.136467,Americas,Latin America and the Caribbean
2023,Anguilla,AIA,NA,Americas,Latin America and the Caribbean
1990,Antigua and Barbuda,ATG,1.5856279,Americas,Latin America and the Caribbean
1991,Antigua and Barbuda,ATG,4.7328315,Americas,Latin America and the Caribbean
1992,Antigua and Barbuda,ATG,3.1053731,Americas,Latin America and the Caribbean
1993,Antigua and Barbuda,ATG,6.0987697,Americas,Latin America and the Caribbean
1994,Antigua and Barbuda,ATG,7.480271,Americas,Latin America and the Caribbean
1995,Antigua and Barbuda,ATG,10.26566,Americas,Latin America and the Caribbean
1996,Antigua and Barbuda,ATG,4.309633,Americas,Latin America and the Caribbean
1997,Antigua and Barbuda,ATG,1.4074001,Americas,Latin America and the Caribbean
2000,Antigua and Barbuda,ATG,6.674498,Americas,Latin America and the Caribbean
2001,Antigua and Barbuda,ATG,9.202171,Americas,Latin America and the Caribbean
2002,Antigua and Barbuda,ATG,6.490809,Americas,Latin America and the Caribbean
2003,Antigua and Barbuda,ATG,6.4198036,Americas,Latin America and the Caribbean
2004,Antigua and Barbuda,ATG,5.081333,Americas,Latin America and the Caribbean
2005,Antigua and Barbuda,ATG,3.768347,Americas,Latin America and the Caribbean
2006,Antigua and Barbuda,ATG,13.646965,Americas,Latin America and the Caribbean
2007,Antigua and Barbuda,ATG,20.806814,Americas,Latin America and the Caribbean
2008,Antigua and Barbuda,ATG,19.29757,Americas,Latin America and the Caribbean
2009,Antigua and Barbuda,ATG,19.00847,Americas,Latin America and the Caribbean
2010,Antigua and Barbuda,ATG,7.0323076,Americas,Latin America and the Caribbean
2012,Antigua and Barbuda,ATG,11.460005,Americas,Latin America and the Caribbean
2017,Antigua and Barbuda,ATG,22.107264,Americas,Latin America and the Caribbean
2018,Antigua and Barbuda,ATG,13.197545,Americas,Latin America and the Caribbean
2019,Antigua and Barbuda,ATG,3.283587,Americas,Latin America and the Caribbean
2020,Antigua and Barbuda,ATG,9.799011,Americas,Latin America and the Caribbean
2021,Antigua and Barbuda,ATG,17.32558,Americas,Latin America and the Caribbean
2022,Antigua and Barbuda,ATG,10.771219,Americas,Latin America and the Caribbean
2023,Antigua and Barbuda,ATG,10.716333,Americas,Latin America and the Caribbean
2001,Argentina,ARG,8.316318,Americas,Latin America and the Caribbean
2002,Argentina,ARG,9.3874860000000009,Americas,Latin America and the Caribbean
2003,Argentina,ARG,7.7216797,Americas,Latin America and the Caribbean
2004,Argentina,ARG,6.0233026,Americas,Latin America and the Caribbean
