year,country,isocode,tasa_homicidio
2009,Afghanistan,AFG,4.05955
2010,Afghanistan,AFG,3.4754522
2011,Afghanistan,AFG,4.1945353
2012,Afghanistan,AFG,6.3743386
2015,Afghanistan,AFG,9.952186
2016,Afghanistan,AFG,6.6799974
2017,Afghanistan,AFG,6.7920213
2018,Afghanistan,AFG,6.733248
2019,Afghanistan,AFG,7.163967
2020,Afghanistan,AFG,6.578109
2021,Afghanistan,AFG,4.0324583
2023,Afghanistan,AFG,NA
2000,Africa (UN),NA,13.702209999999999
2001,Africa (UN),NA,13.6558695
2002,Africa (UN),NA,13.591751
2003,Africa (UN),NA,13.16496
2004,Africa (UN),NA,12.918957
2005,Africa (UN),NA,12.775779
2006,Africa (UN),NA,12.820435
2007,Africa (UN),NA,12.617184
2008,Africa (UN),NA,12.559087
2009,Africa (UN),NA,12.404606
2010,Africa (UN),NA,12.289393
2011,Africa (UN),NA,12.354613
2012,Africa (UN),NA,12.404085
2013,Africa (UN),NA,12.422168
2014,Africa (UN),NA,12.544977
2015,Africa (UN),NA,12.43226
2016,Africa (UN),NA,12.403647
2017,Africa (UN),NA,12.274536
2018,Africa (UN),NA,11.765289
2019,Africa (UN),NA,11.476445
2020,Africa (UN),NA,10.931081
2021,Africa (UN),NA,11.17628
2022,Africa (UN),NA,11.088216
2023,Africa (UN),NA,10.70165
2023,Aland Islands,ALA,NA
1992,Albania,ALB,3.9603949
1993,Albania,ALB,5.8270354
1994,Albania,ALB,3.4256952
1995,Albania,ALB,7.948279
1996,Albania,ALB,8.380375
1997,Albania,ALB,41.304665
1998,Albania,ALB,20.559898
1999,Albania,ALB,16.684462
2000,Albania,ALB,4.1375203
2001,Albania,ALB,6.9886894
2002,Albania,ALB,6.891948
2003,Albania,ALB,5.3237762
2004,Albania,ALB,4.2276373
2005,Albania,ALB,5.0062430000000004
2006,Albania,ALB,3.1139286
2007,Albania,ALB,3.4735007
2008,Albania,ALB,3.1073225
2009,Albania,ALB,2.870187
2010,Albania,ALB,4.063206
2011,Albania,ALB,4.8772044
2012,Albania,ALB,5.3951817
2013,Albania,ALB,4.264726
2014,Albania,ALB,4.614723
2015,Albania,ALB,2.2079382
