country,isocode,subregion,year,region,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
Afghanistan,AFG,Southern Asia,2020,Asia,2561.98176058622,38.2,16.053,6.578109,0,0,0,0
Afghanistan,AFG,Southern Asia,2015,Asia,2284.07584789349,30.1,12.55,9.952186,0,0,0,0
Afghanistan,AFG,Southern Asia,2010,Asia,1765.53802830615,35.3,9.99,3.4754522,0,0,0,0
Albania,ALB,Southern Europe,2020,Europe,14512.0376833706,29.4,28.117,2.1239898,0,0,0,0
Albania,ALB,Southern Europe,2015,Europe,11747.318031542,32.8,39.628,2.2079382,0,0,0,0
Albania,ALB,Southern Europe,2010,Europe,9755.92875964596,31.8,30.867,4.063206,0,0,0,0
Algeria,DZA,Northern Africa,2020,Africa,12676.5130564294,35,35.748,1.4849432,0,0,0,0
Algeria,DZA,Northern Africa,2015,Africa,13807.3515841478,37.5,30.376,1.3643339,0,0,0,0
Algeria,DZA,Northern Africa,2010,Africa,14201.3659906969,41.5,22.161,0.7018856,0,0,0,0
American Samoa,ASM,Polynesia,2020,Oceania,14110.3191444298,39.4,36.948,0.9457794,0,0,0,0
American Samoa,ASM,Polynesia,2015,Oceania,3331.85663003801,33.1,6.534,7.564583,0,0,0,0
American Samoa,ASM,Polynesia,2010,Oceania,39372.8511038542,34.1,14.218,9.053297,0,0,0,0
Andorra,AND,Southern Europe,2020,Europe,52095.8414004627,33.7,22.038,2.5846472,0,0,0,0
Andorra,AND,Southern Europe,2015,Europe,50733.2390011704,32.4,3.843,0,0,0,0,0
Andorra,AND,Southern Europe,2010,Europe,43853.1712385354,33.7,26.387,0,0,0,0,0
Angola,AGO,Sub-Saharan Africa,2020,Africa,6450.74994625154,35,33.067,8.846177,0,0,0,0
Angola,AGO,Sub-Saharan Africa,2015,Africa,7119.72644274401,40.8,35.151,4.453473,0,0,0,0
Angola,AGO,Sub-Saharan Africa,2010,Africa,6607.0221970301,55.8,38.752,3.654374,0,0,0,0
Antigua and Barbuda,ATG,Latin America and the Caribbean,2020,Americas,22370.0918693813,48,39.687,9.799011,0,0,0,0
Antigua and Barbuda,ATG,Latin America and the Caribbean,2015,Americas,20985.4388292177,48,4.541,3.6221154,0,0,0,0
Antigua and Barbuda,ATG,Latin America and the Caribbean,2010,Americas,24071.0297956482,49.2,26.802,7.0323076,0,0,0,0
Argentina,ARG,Latin America and the Caribbean,2020,Americas,22393.3479575353,42.7,30.428,5.3527217,0,0,0,0
Argentina,ARG,Latin America and the Caribbean,2015,Americas,19899.1499275245,42.7,20.27,6.5252876,0,0,0,0
Argentina,ARG,Latin America and the Caribbean,2010,Americas,17847.6110373178,43.7,19.381,5.7739778,0,0,0,0
Armenia,ARM,Western Asia,2020,Asia,14706.3173043422,25.1,32.205,2.5943546,0,0,0,0
Armenia,ARM,Western Asia,2015,Asia,9756.84084836026,32.4,31.871,2.567458,0,0,0,0
Armenia,ARM,Western Asia,2010,Asia,7095.21267979009,30,37.647,1.9105599,0,0,0,0
Aruba,ABW,Latin America and the Caribbean,2020,Americas,28976.4635497124,49.2,19.556,5.756139,0,0,0,0
Aruba,ABW,Latin America and the Caribbean,2015,Americas,35972.8664446515,40.2,22.875,12.033591,0,0,0,0
Aruba,ABW,Latin America and the Caribbean,2010,Americas,33729.5119105028,42.7,7.494,3.995465,0,0,0,0
Australia,AUS,Australia and New Zealand,2020,Oceania,53984.1246979075,33.8,14.219,0.8584594,0,0,0,0
Australia,AUS,Australia and New Zealand,2015,Oceania,46263.731388772,32.3,13.11,0.98546845,0,0,0,0
Australia,AUS,Australia and New Zealand,2010,Oceania,39372.8511038542,34.7,11.548,1.043286,0,0,0,0
Austria,AUT,Western Europe,2020,Europe,58523.0337816246,29.8,10.325,0.72858477,0,0,0,0
Austria,AUT,Western Europe,2015,Europe,49562.5939257986,30.5,10.91,0.50902134,0,0,0,0
Austria,AUT,Western Europe,2010,Europe,41740.1149241758,30.3,9.673,0.7292209,0,0,0,0
Azerbaijan,AZE,Western Asia,2020,Asia,15163.5703327282,28.8,15.129,2.1509116,0,0,0,0
Azerbaijan,AZE,Western Asia,2015,Asia,15075.272634791,43,13.363,2.1634703,0,0,0,0
Azerbaijan,AZE,Western Asia,2010,Asia,14930.4100337944,32.1,14.64,2.2521412,0,0,0,0
"Bahamas, The",BHS,Latin America and the Caribbean,2020,Americas,27204.625909518,48.4,24.284,5.756139,0,0,0,0
"Bahamas, The",BHS,Latin America and the Caribbean,2015,Americas,32137.5784729905,42.7,25.109,11.560721,0,0,0,0
"Bahamas, The",BHS,Latin America and the Caribbean,2010,Americas,29624.9512261144,44.5,26.766,12.913972,0,0,0,0
Bahrain,BHR,Western Asia,2020,Asia,53436.0316999712,24.9,6.365,0,0,0,0,0
Bahrain,BHR,Western Asia,2015,Asia,48034.2468880503,35.8,5.427,0.21903406,0,0,0,0
