year,country,isocode,region,subregion,pib_per_capita,indice_gini,tasa_desempleo_joven,tasa_homicidio,dummy_outlier_tasa_homicidio,dummy_outlier_pib_per_capita,dummy_outlier_tasa_desempleo_joven,dummy_outlier_indice_gini
2020,Afghanistan,AFG,Asia,Southern Asia,2561.98176058622,NA,16.053,6.578109,0,0,0,0
2015,Afghanistan,AFG,Asia,Southern Asia,2284.07584789349,NA,12.55,9.952186,0,0,0,0
2010,Afghanistan,AFG,Asia,Southern Asia,1765.53802830615,NA,9.99,3.4754522,0,0,0,0
2020,Albania,ALB,Europe,Southern Europe,14512.0376833706,29.4,28.117,2.1239898,0,0,0,0
2015,Albania,ALB,Europe,Southern Europe,11747.318031542,32.8,39.628,2.2079382,0,0,0,0
2010,Albania,ALB,Europe,Southern Europe,9755.92875964596,NA,30.867,4.063206,0,0,0,0
2020,Algeria,DZA,Africa,Northern Africa,12676.5130564294,NA,35.748,1.4849432,0,0,0,0
2015,Algeria,DZA,Africa,Northern Africa,13807.3515841478,NA,30.376,1.3643339,0,0,0,0
2010,Algeria,DZA,Africa,Northern Africa,14201.3659906969,NA,22.161,0.7018856,0,0,0,0
2020,American Samoa,ASM,Oceania,Polynesia,NA,NA,NA,NA,0,0,0,0
2015,American Samoa,ASM,Oceania,Polynesia,NA,NA,NA,7.564583,0,0,0,0
2010,American Samoa,ASM,Oceania,Polynesia,NA,NA,NA,9.053297,0,0,0,0
2020,Andorra,AND,Europe,Southern Europe,52095.8414004627,NA,NA,2.5846472,0,0,0,0
2015,Andorra,AND,Europe,Southern Europe,50733.2390011704,NA,NA,0,0,0,0,0
2010,Andorra,AND,Europe,Southern Europe,43853.1712385354,NA,NA,0,0,0,0,0
2020,Angola,AGO,Africa,Sub-Saharan Africa,6450.74994625154,NA,33.067,NA,0,0,0,0
2015,Angola,AGO,Africa,Sub-Saharan Africa,7119.72644274401,NA,35.151,4.453473,0,0,0,0
2010,Angola,AGO,Africa,Sub-Saharan Africa,6607.0221970301,NA,38.752,NA,0,0,0,0
2020,Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,22370.0918693813,NA,NA,9.799011,0,0,0,0
2015,Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,20985.4388292177,NA,NA,NA,0,0,0,0
2010,Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,24071.0297956482,NA,NA,7.0323076,0,0,0,0
2020,Argentina,ARG,Americas,Latin America and the Caribbean,22393.3479575353,42.7,30.428,5.3527217,0,0,0,0
2015,Argentina,ARG,Americas,Latin America and the Caribbean,19899.1499275245,NA,20.27,6.5252876,0,0,0,0
2010,Argentina,ARG,Americas,Latin America and the Caribbean,17847.6110373178,43.7,19.381,5.7739778,0,0,0,0
2020,Armenia,ARM,Asia,Western Asia,14706.3173043422,25.1,32.205,2.5943546,0,0,0,0
